gene	syn	description	protein	fun_desc	essential
gspH	"hofH, hopH"	"Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon"	"predicted general secretory pathway component, cryptic"	Putative transport; Not classified	N
gspI	yheH	"Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon"	"general secretory pathway component, cryptic"	Putative transport; Not classified	N
gspJ	yheI	"Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon"	"predicted general secretory pathway component, cryptic"	Putative transport; Not classified	N
gspK	yheJ	"Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon"	"general secretory pathway component, cryptic"	Putative transport; Not classified	N
gspL	yheK	"Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon"	"general secretory pathway component, cryptic"	Putative transport; Not classified	N
gspM	"hopZ, pshM"	"Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon"	"general secretory pathway component, cryptic"	Putative transport; Not classified	N
gspO	"hofD, hopD, hopO, yheC"	Prepilin peptidase in H-NS-silenced gsp divergon; type II protein secretion; cloned gsp divergon secretes ChiA	bifunctional prepilin leader peptidase/ methylase	"Enzyme; Degradation of proteins, peptides, glyco"	N
gss	gsp	Glutathionylspermidine synthase/amidase; bifunctional protein	fused glutathionylspermidine amidase/glutathionylspermidine synthetase	Enzyme; Central intermediary metabolism: Polyamine biosynthesis	N
gstA	gst	Glutathione S-transferase; hydrogen peroxide resistance	glutathionine S-transferase	"Enzyme; Biosynthesis of cofactors, carriers: Thioredoxin, glutaredoxin, glutathione"	N
gstB	yliJ	"Glutathione transferase, iodoacetate-, bromoacetate-specific; natural substrate unknown"	glutathione S-transferase	"Enzyme; Biosynthesis of cofactors, carriers: Thioredoxin, glutaredoxin, glutathione"	N
gtrA	yfdG	"Bactoprenol-linked glucose translocase, CPS-53/KpLE1 prophage; part of the GtrABS tripartite system for prophage seroconversion of type IV O antigen to serotype 4a"	CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase (flippase)	Phage or Prophage Related	N
gtrB	yfdH	"Bactoprenol glucosyl transferase, CPS-53/KpLE1 prophage; part of the GtrABS tripartite system for prophage seroconversion of type IV O antigen to serotype 4a"	CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase	Phage or Prophage Related	N
gtrS	"gtrIV, yfdI"	"Serotype-specific glucosyl transferase, CPS-53/KpLE1 prophage; GtrIV(GtrS); part of the GtrABS tripartite system for prophage seroconversion of type IV O antigen to serotype 4a"	"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage"	Phage or Prophage Related	N
guaA	None	GMP synthase	GMP synthetase (glutamine aminotransferase)	Enzyme; Purine ribonucleotide biosynthesis	N
guaB	guaR	Inosine-5'-monophosphate (IMP) dehydrogenase	IMP dehydrogenase	Enzyme; Purine ribonucleotide biosynthesis	N
guaC	None	GMP reductase	GMP reductase	Enzyme; Purine ribonucleotide biosynthesis	N
guaD	ygfP	Guanine deaminase	guanine deaminase	Null	N
gudD	ygcX	"D-glucarate dehydratase; L-idarate dehydratase; D-glucarate, L-idarate epimerase"	(D)-glucarate dehydratase 1	1.1.1 metabolism; carbon utilization; carbon compounds	N
gudP	ygcZ	"Probable D-glucarate transporter, membrane protein"	predicted D-glucarate transporter	"1.1.1 metabolism; carbon utilization; carbon compounds|4.2.A.1 transport; Electrochemical potential driven transporters; Porters (Uni-, Sym- and Antiporters); The Major Facilitator Superfamily (MFS)|6.1 cell structure; membrane|7.3 location of gene products; inner membrane|4.S.44 transport; substrate; D-glucarate"	N
gudX	ygcY	Glucarate dehydratase-related protein	"glucarate dehydratase-related protein, substrate unknown"	Putative enzyme; Not classified|1.1.1 metabolism; carbon utilization; carbon compounds|10 cryptic genes	N
gutM	srlM	Part of srl operon	DNA-binding transcriptional activator of glucitol operon	Regulator; Degradation of small molecules: Carbon compounds	N
gutQ	srlQ	D-arabinose 5-phosphate isomerase	D-arabinose 5-phosphate isomerase	Null	N
gyrA	"hisW, nalA, nfxA, norA, parD"	"DNA gyrase, subunit A; nalidixic acid resistance; cold shock regulon"	"DNA gyrase (type II topoisomerase), subunit A"	"Enzyme; DNA - replication, repair, restriction/modification"	Y
gyrB	"acrB, Cou, himB, hisU, hopA, nalC, parA, pcbA, pcpA"	"DNA gyrase, subunit B; novobiocin, coumermycin resistance"	"DNA gyrase, subunit B"	"Enzyme; DNA - replication, repair, restriction/modification"	N
hcaB	"phdD, yfhX"	"3-Phenylpropionate-dihydrodiol dehydrogenase; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway"	"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase"	Enzyme; Degradation of small molecules: Carbon compounds	N
hcaC	"hcaA3, phdB, yfhW"	"3-Phenylpropionate/cinnamic acid dioxygenase, ferredoxin subunit; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway"	"3-phenylpropionate dioxygenase, predicted ferredoxin subunit"	Enzyme; Degradation of small molecules: Carbon compounds	N
hcaD	"hcaA4, phdA, yfhY"	"3-Phenylpropionate/cinnamic acid dioxygenase, ferredoxin reductase subunit; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway"	"phenylpropionate dioxygenase, ferredoxin reductase subunit"	Enzyme; Degradation of small molecules: Carbon compounds	N
hcaE	"digA, hcaA, hcaA1, phdC1, yfhU"	"3-Phenylpropionate/cinnamic acid dioxygenase, alpha subunit; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway"	"3-phenylpropionate dioxygenase, large (alpha) subunit"	Enzyme; Degradation of small molecules: Carbon compounds	N
hcaF	"digB, hcaA, hcaA2, hcaB, phdC2, yfhV"	"3-Phenylpropionate/cinnamic acid dioxygenase, beta subunit; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway"	"3-phenylpropionate dioxygenase, small (beta) subunit"	Enzyme; Degradation of small molecules: Carbon compounds	N
hcaR	"phdR, yfhT"	Transcriptional activator for the hca operon; inducd by 3-phenylpropionate and cinnamic acid; autoregulatory	DNA-binding transcriptional activator of 3-phenylpropionic acid catabolism	Regulator; Degradation of small molecules: Carbon compounds	N
hcaT	yfhS	"Probable 3-phenylpropionic acid/cinnamic acid transporter; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway"	predicted 3-phenylpropionic transporter	Transport; Degradation of small molecules: Carbon compounds	N
hchA	"gloC, yedU, yzzC"	"Glyoxalase III and molecular chaperone Hsp31, heat-inducible; weak aminopeptidase activity; homodimeric"	Glyoxalase III and Hsp31 molecular chaperone	Null	N
hcp	ybjW	"Hydroxylamine reductase, hybrid-cluster [2Fe-2S] protein "	hybrid-cluster [4Fe-2S-2O] protein in anaerobic terminal reductases	Orf; Not classified	N
hcr	ybjV	"Hydrid-cluster protein oxidoreductase; FAD and [2Fe-2S] cofactors, NADH as electron donor"	"HCP oxidoreductase, NADH-dependent"	Putative enzyme; Not classified	N
hda	"idaB, yfgE"	Required for regulatory inactivation of DnaA; multicopy suppressor of dnaN(ts)	ATPase regulatory factor involved in DnaA inactivation	Putative factor; Not classified	N
hdeA	"yhhC, yhiB"	Periplasmic chaperone of acid-denatured proteins; H-NS repressed	stress response protein acid-resistance protein	Null	N
hdeB	"yhhD, yhiC"	Periplasmic chaperone of acid-denatured proteins; H-NS repressed	acid-resistance protein	Null	N
hdeD	yhiA	"Putative membrane transporter, H-NS repressed"	acid-resistance membrane protein	Null	N
hdfR	"apeR?, yifA, yifD"	"Transcriptional regulator of the flhDC operon, hns-dependent; not allelic to pssR"	DNA-binding transcriptional regulator	2.2.2 information transfer; RNA related; transcription related|3.1.2.3 regulation; type of regulation; transcriptional level; repressor|3.3.1 regulation; genetic unit regulated; operon|7.1 location of gene products; cytoplasm	N
hdhA	"hsd, hsdH"	7-alpha-Hydroxysteroid dehydrogenase	"7-alpha-hydroxysteroid dehydrogenase, NAD-dependent"	"Enzyme; Central intermediary metabolism: Pool, multipurpose conversions"	N
helD	srjB	ATP-dependent DNA Helicase IV	DNA helicase IV	"Enzyme; DNA - replication, repair, restriction/modification"	N
hemA	gtrA	"Glutamyl-tRNA reductase, hemin biosynthesis; neomycin sensitivity"	glutamyl tRNA reductase	"Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin"	N
hemB	ncf	5-Aminolevulinate dehydratase; also known as porphobilinogen synthase; binds Zn(II)	5-aminolevulinate dehydratase (porphobilinogen synthase)	"Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin"	N
hemC	popE	Porphobilinogen deaminase; neomycin sensitivity	hydroxymethylbilane synthase	"Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin"	Y
hemD	None	Uroporphyrinogen III cosynthase; neomycin sensitivity	uroporphyrinogen III synthase	"Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin"	N
hemE	hemC	Uroporphyrinogen decarboxylase	uroporphyrinogen decarboxylase	"Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin"	N
hemF	"popB, sec"	"Coproporphyrinogen III oxidase, oxygen-dependent; stimulated by manganese; dimeric"	coproporphyrinogen III oxidase	"Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin"	N
hemG	yihB	Protoporphyrinogen oxidase; neomycin sensitivity; flavodoxin-like	"protoporphyrin oxidase, flavoprotein"	"Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin"	N
hemH	"popA, visA"	Ferrochelatase	ferrochelatase	"Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin"	N
hemL	"gsa?, popC"	Glutamate-1-semialdehyde aminomutase	glutamate-1-semialdehyde aminotransferase (aminomutase)	"Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin"	N
hemN	yihJ	"Coproporphyrinogen III oxidase, oxygen-independent, required for cytochrome B and cytochrome C synthesis during anaerobic growth"	"coproporphyrinogen III oxidase, SAM and NAD(P)H dependent, oxygen-independent"	"Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin"	N
hemX	None	Uroporphyrinogen III methyltransferase	predicted uroporphyrinogen III methyltransferase	"Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin"	N
hemY	None	Predicted protoheme IX biogenesis protein; TPR repeats	predicted protoheme IX synthesis protein	"Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin"	N
hflC	hflA	"Membrane bound protease complex, with FtsH and HflK; regulates lysogeny; non-essential"	modulator for HflB protease specific for phage lambda cII repressor	"Enzyme; Degradation of proteins, peptides, glyco"	N
hflD	"hslZ, ycfC"	Downregulates lambda lysogenization; interacts with cII protein; first gene in purB operon; peripheral membrane protein	predicted lysogenization regulator	Null	N
hflK	"hflA, hslY"	Membrane bound protease complex with FtsH and HflC; regulates lysogeny; non-essential	modulator for HflB protease specific for phage lambda cII repressor	"Enzyme; Degradation of proteins, peptides, glyco"	N
hflX	"hflA, hslX"	"GTPase, stimulated by 50S subunit binding, function unknown"	"GTPase, stimulated by 50S subunit binding"	"Enzyme; Degradation of proteins, peptides, glyco"	N
hfq	None	"Global regulator of sRNA function; host factor for RNA phage Q beta replication; HF-I; DNA- and RNA-binding protein; RNA chaperone; multiple regulatory roles: destabilzes ompA mRNA, improves rpoS translation, sRNA DsrA co-factor; binds RNAP; ATPase"	"Global sRNA chaperone; HF-I, host factor for RNA phage Q beta replication"	Putative factor; Phage-related functions and prophages	N
hha	None	"Modulates hemolysin expression, in complex with H-NS; stimulates transposition events; induced by AI-2 pheromone; promotes conjugation and conjugation-induced biofilms"	"modulator of gene expression, with H-NS"	Regulator; Proteins - translation and modification	N
hicA	yncN	mRNA interferase toxin of hicAB TA pair; required for swarming phenotype	mRNA interferase toxin of the HicAB toxin-antitoxin system	Null	N
hicB	ydcQ	Antitoxin of HicAB TA pair; mutational suppressor of null rpoE lethality	antitoxin for the HicAB toxin-antitoxin system; mutational suppressor of null rpoE lethality	Null	N
higA	ygjM	Antitoxin for HigB toxin	antitoxinof the HigB-HigA toxin-antitoxin system	Null	N
higB	ygjN	"mRNA interferase, toxin-antitoxin pair HigBA"	mRNA interferase toxin of the HigB-HigA toxin-antitoxin system	Null	N
hinT	ycfF	"Activator of DadA, D-alanine catabolism; purine nucleoside phosphoramidase; aminoacyl-adenylate hydrolase"	"purine nucleoside phosphoramidase, dadA activator protein"	Null	N
hipA	None	EF-Tu kinase; serine protein kinase required for persister formation; toxin of HipAB TA pair	EF-Tu kinase; serine protein kinase required for persister formation; toxin of HipAB TA pair	Regulator	N
hipB	None	Antitoxin of HipAB TA pair; transcriptional repressor of the hipBA operon; role in persister formation	antitoxin of HipAB toxin-antitoxin system	"Regulator; Murein sacculus, peptidoglycan"	N
hisA	None	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase; 1-(5'-phosphoribosyl)-5-[(5'-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase	Enzyme; Amino acid biosynthesis: Histidine	N
hisB	None	Imidazoleglycerolphosphate dehydratase/histidinol phosphatase; bifunctional enzyme; HAD21	fused histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase	Enzyme; Amino acid biosynthesis: Histidine	N
hisC	None	Histidinol-phosphate aminotransferase	histidinol-phosphate aminotransferase	Enzyme; Amino acid biosynthesis: Histidine	N
hisD	None	Histidinol dehydrogenase	bifunctional histidinal dehydrogenase/ histidinol dehydrogenase	Enzyme; Amino acid biosynthesis: Histidine	N
hisF	None	"Imidazole glycerol phosphate (IGP) synthase, cyclase subunit"	"imidazole glycerol phosphate synthase, catalytic subunit with HisH"	Enzyme; Amino acid biosynthesis: Histidine	N
hisG	None	ATP-phosphoribosyltransferase	ATP phosphoribosyltransferase	Enzyme; Amino acid biosynthesis: Histidine	N
hisH	None	"Imidazole glycerol phosphate (IGP) synthase, amidotransferase"	"imidazole glycerol phosphate synthase, glutamine amidotransferase subunit with HisF"	Enzyme; Amino acid biosynthesis: Histidine	N
hisI	"hisE, hisIE"	"PR-ATP pyrophosphatase/PR-AMP cyclohydrolase, bifunctional"	fused phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase	Enzyme; Amino acid biosynthesis: Histidine	N
hisJ	None	Histidine-binding periplasmic protein; part of HisJMPQ ABC transporter	histidine/lysine/arginine/ornithine transporter subunit	"Transport; Transport of small molecules: Amino acids, amines"	N
hisL	None	his operon leader peptide	his operon leader peptide	Leader; Amino acid biosynthesis: Histidine	N
hisM	None	Histidine transport permease; part of HisJMPQ ABC transporter	histidine/lysine/arginine/ornithine transporter subunit	"Transport; Transport of small molecules: Amino acids, amines"	N
hisP	None	Histidine transport ATP-binding protein; part of HisJMPQ ABC transporter	histidine/lysine/arginine/ornithine transporter subunit	"Transport; Transport of small molecules: Amino acids, amines"	N
hisQ	None	Histidine transport permease; part of HisJMPQ ABC transporter	histidine/lysine/arginine/ornithine transporter permease subunit	"Transport; Transport of small molecules: Amino acids, amines"	N
hisR	None	Histidine tRNA(GUG)	Null	Null	N
hisS	None	Histidine--tRNA ligase	histidyl tRNA synthetase	"Enzyme; Aminoacyl tRNA synthetases, tRNA modification"	Y
hiuH	yedX	"Hydroxyisourate hydrolase; HIU hydrolase, HIUHase; periplasmic transthyretin-like protein (TLP); EcTRP; tetrameric, metal-binding; unrelated to soybean HIUHase"	Hydroxyisourate hydrolase	Purine catabolism	N
hldD	"gmhD, htrM, nbsB, rfaD, waaD"	"ADP-L-glycero-D-manno-heptose-6-epimerase; heat-inducible, LPS; allows high-temperature growth"	"ADP-L-glycero-D-mannoheptose-6-epimerase, NAD(P)-binding"	Enzyme; Surface polysaccharides & antigens	N
hldE	"gmhC, rfaE, waaE, yqiF"	Heptose 7-P kinase/heptose 1-P adenyltransferase; LPS core prescursor synthesis: bifunctional enzyme involved in both D-glycero-D-manno-heptose-1-phosphate and ADP-D-glycero-D-manno-heptose synthesis	fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase	Putative enzyme; Not classified	N
hlyE	"clyA, hpr, sheA, ycgD"	"Latent secreted hemolysin E; regulated by SlyA, Fnr and HN-S"	hemolysin E	Phenotype; Not classified	N
hmp	"fsrB, hmpA"	"Flavohemoglobin; nitric oxide dioxygenase; dihydropteridine reductase; GSNO and nitrite reductase; has alkylhydroperoxide reductase activity, possibly involved in the repair of lipid membrane oxidative damage"	fused nitric oxide dioxygenase/dihydropteridine reductase 2	"Enzyme; Energy metabolism, carbon: Electron transport"	N
hns	"B1, bglY, cur, drc, drdX, drs, fimG, H1, hnsA, irk, msyA, osmZ, pilG, topS, topX, verA, virR"	"DNA-binding global regulator H-NS; diverse mutant phenotypes affecting transcription, transposition, inversion, cryptic-gene expression; involved in chromosome organization; preferentially binds bent DNA; has N-terminal dimerization domain"	global DNA-binding transcriptional dual regulator H-NS	"Regulator; Basic proteins - synthesis, modification"	N
hofB	hopB	"Homologous to PilB of Pseudomonas aeruginosa; function not established, insertion mutation gives no phenotype"	conserved protein with nucleoside triphosphate hydrolase domain	Putative transport; Not classified	N
hofC	"hopC, yacD"	"Homologous to PilC of P. aeruginosa; function not established, insertion mutation gives no phenotype"	"assembly protein in type IV pilin biogenesis, transmembrane protein"	Putative transport; Not classified	N
hofM	yrfD	Required for the utilization of DNA as a carbon source; H. influenzae competence protein ComA homolog	"protein required for the utilization of DNA as a carbon source, pilus assembly protein homolog"	Null	N
hofN	yrfC	Required for the utilization of DNA as a carbon source; H. influenzae competence protein ComB homolog	protein required for the utilization of DNA as a carbon source; fimbrial assembly protein homolog	Null	N
hofO	yrfB	Required for the utilization of DNA as a carbon source; H. influenzae competence protein ComC homolog	protein required for the utilization of DNA as a carbon source	Null	N
hofP	yrfA	Required for the utilization of DNA as a carbon source; H. influenzae competence protein ComD homolog	protein required for the utilization of DNA as a carbon source	Null	N
hofQ	hopQ	Required for the utilization of DNA as a carbon source; H. influenzae competence protein ComE homolog	protein required for the utilization of DNA as a carbon source; fimbrial transporter homolog	Putative transport; Not classified	N
hokA	yiaZ	Small toxic membrane polypeptide; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown	"toxic polypeptide, small"	Component of addiction module (incomplete)	N
hokB	ydcB	Small toxic membrane polypeptide; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown	"toxic polypeptide, small"	Component of addiction module|cell killing	N
hokC	gef	"Small toxic membrane polypeptide, multimeric; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown"	"toxic membrane protein, small"	Component of addiction module|cell killing	N
hokD	relF	"Small toxic membrane polypeptide, Qin prophage; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown"	Qin prophage; small toxic polypeptide	Factor; Cell killing|component of addiction module (incomplete); Phage or Prophage Related	N
hokE	ybdY	Putative small toxic membrane polypeptide; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; regulatory antisense sRNA antitoxin is SokE	"toxic polypeptide, small"	Component of addiction module (incomplete)	N
holA	None	"DNA polymerase III, delta subunit; part of the DnaX clamp loader complex; acts as a wrench to open the sliding clamp"	"DNA polymerase III, delta subunit"	"Enzyme; DNA - replication, repair, restriction/modification"	N
holB	None	"DNA polymerase III, delta' subunit; part of the DnaX clamp loader complex, the stator protein"	"DNA polymerase III, delta prime subunit"	"Enzyme; DNA - replication, repair, restriction/modification"	N
holC	None	"DNA polymerase III, chi subunit"	"DNA polymerase III, chi subunit"	"Enzyme; DNA - replication, repair, restriction/modification"	N
holD	None	"DNA polymerase, psi subunit, clamp loader complex subunit"	"DNA polymerase III, psi subunit"	"Enzyme; DNA - replication, repair, restriction/modification"	N
holE	None	"DNA polymerase III, theta subunit"	"DNA polymerase III, theta subunit"	"Enzyme; DNA - replication, repair, restriction/modification"	N
hpf	yhbH	Ribosome hibernation promoting factor HPF; stabilizes 70S dimers (100S); induced in stationary phase; raiA paralog has opposite effect on 70S dimers	ribosome hibernation promoting factor HPF; stabilizes 70S dimers (100S)	Putative regulator; Global regulatory functions	N
hpt	None	Hypoxanthine-guanine phosphoribosyltransferase	hypoxanthine phosphoribosyltransferase	Enzyme; Salvage of nucleosides and nucleotides	N
hrpA	None	Predicted ATP-dependent RNA helicase	predicted ATP-dependent helicase	"Enzyme; DNA - replication, repair, restriction/modification"	N
hrpB	yadO	"Predicted ATP-dependent helicase, function unknown"	predicted ATP-dependent helicase	"Enzyme; DNA - replication, repair, restriction/modification"	N
hscA	hsc	"Hsc66, DnaK-like chaperone, specific for IscU; involved in FtsZ-ring formation; HscB is the J-like co-chaperone for HscA"	DnaK-like molecular chaperone specific for IscU	Factor; Chaperones	N
hscB	yfhE	"Hsc20, DnaJ-like co-chaperone for HscA; specific for IscU"	DnaJ-like molecular chaperone specific for IscU	Null	N
hscC	ybeW	"Hsc62, DnaK-like chaperone; binds to RpoD and inhibits transcription; inhibits growth when overexpressed; Hsc56(DjlC) is DnaJ-like co-chaperone; ATPase activity is stimulated by GrpE, DjlC; mutant grows slow and is hypersensitive to Cd(II) and UV"	"Hsp70 family chaperone Hsc62, binds to RpoD and inhibits transcription"	Putative enzyme; Not classified	N
hsdM	"hsm, hsp"	"DNA methyltransferase M, host modification of foreign DNA"	DNA methyltransferase M	"Enzyme; DNA - replication, repair, restriction/modification"	N
hsdR	"hsp, hsr"	"Endonuclease R, host restriction of foreign DNA; Type I restriction enzyme; ClpXP-dependent degradation"	endonuclease R Type I restriction enzyme	Enzyme; Degradation of DNA	N
hsdS	"hsp, hss"	Specificity determinant for HsdM and HsdR	specificity determinant for hsdM and hsdR	"Enzyme; DNA - replication, repair, restriction/modification"	N
hslJ	ydbI	Heat-inducible lipoprotein involved in novobiocin resistance	heat-inducible lipoprotein involved in novobiocin resistance	"Factor; Adaptations, atypical conditions"	N
hslO	yrfI	"Hsp33, oxidative stress-induced heat shock chaperone; C-terminal zinc-binding motif regulates Hsp33 activity"	heat shock protein Hsp33	Null	N
hslR	yrfH	"Hsp15, a heat shock protein that binds free 50S subunits; binds RNA and DNA"	ribosome-associated heat shock protein Hsp15	Null	N
hslU	"clpY, htpI"	"Heat-inducible ATP-dependent protease HslVU, ATPase subunit; involved in the degradation of misfolded proteins; heat shock protein D48.5"	molecular chaperone and ATPase component of HslUV protease	"Factor; Adaptations, atypical conditions"	N
hslV	"clpQ, htpO, yiiC"	"Heat-inducible ATP-dependent protease HslVU, protease subunit; involved in the degradation of misfolded proteins"	peptidase component of the HslUV protease	"Enzyme; Degradation of proteins, peptides, glyco"	N
hspQ	yccV	Heat shock protein involved in degradation of mutant DnaA; hemimethylated oriC DNA-binding protein; mutation suppresses some dnaA(Ts)	heat shock protein involved in degradation of mutant DnaA; hemimethylated oriC DNA-binding protein	Null	N
hsrA	yieO	"Putative transporter, blocks RspA-mediated RpoS down-regulation; membrane protein"	predicted multidrug or homocysteine efflux system	"Putative transport; Not classified|4.2.A.1 transport; Electrochemical potential driven transporters; Porters (Uni-, Sym- and Antiporters); The Major Facilitator Superfamily (MFS)|6.1 cell structure; membrane|7.3 location of gene products; inner membrane"	N
htpG	None	"Protein refolding molecular co-chaperone Hsp90, Hsp70-dependent; heat-shock protein; ATPase; dimeric"	"protein refolding molecular co-chaperone Hsp90, Hsp70-dependent; heat-shock protein; ATPase"	Factor; Chaperones	N
htpX	None	"Zinc metalloprotease HtpX, membrane-bound; cleaves SecY in vivo and in vitro; self-cleaves; M48 family"	predicted endopeptidase	"Orf; Adaptations, atypical conditions"	N
htrE	None	Putative outer membrane fimbrial subunit export usher protein; required for growth at high temperature; induced by heat shock	predicted outer membrane usher protein	Putative membrane; Surface structures	N
hupA	None	"Histone-like protein HU-alpha, HU-2"	"HU, DNA-binding transcriptional regulator, alpha subunit"	"Factor; Basic proteins - synthesis, modification"	N
hupB	"dpeA, hopD"	"Histone-like protein HU-beta, HU-1"	"HU, DNA-binding transcriptional regulator, beta subunit"	"Factor; Basic proteins - synthesis, modification"	N
hyaA	None	"Hydrogenase 1 small subunit [NiFe], periplasmic"	"hydrogenase 1, small subunit"	"Enzyme; Energy metabolism, carbon: Aerobic respiration"	N
hyaB	None	"Hydrogenase 1 large subunit [NiFe], periplasmic"	"hydrogenase 1, large subunit"	"Enzyme; Energy metabolism, carbon: Aerobic respiration"	N
hyaC	None	Possible membrane-spanning protein of hya operon	"hydrogenase 1, b-type cytochrome subunit"	"Putative enzyme; Energy metabolism, carbon: Aerobic respiration"	N
hyaD	None	Hydrogenase 1 maturation protease	hydrogenase 1 maturation protease	"Factor; Energy metabolism, carbon: Aerobic respiration"	N
hyaE	None	Probable HyaA chaperone	probable HyaA chaperone	"Factor; Energy metabolism, carbon: Aerobic respiration"	N
hyaF	None	Nickel incorporation into hydrogenase 1 subunits	protein involved in nickel incorporation into hydrogenase-1 proteins	"Phenotype; Energy metabolism, carbon: Aerobic respiration"	N
hybA	hydL	"Hydrogenase 2 component, periplasmic; possibly electron acceptor for hydrogenase 2 small subunit; probably binds 4 4Fe-4S clusters"	hydrogenase 2 4Fe-4S ferredoxin-type component	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hybB	None	"Hydrogenase 2 cytochrome b type component, probably"	predicted hydrogenase 2 cytochrome b type component	"Putative enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hybC	None	"Hydrogenase 2 [Ni Fe] large subunit, periplasmic"	"hydrogenase 2, large subunit"	"Putative enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hybD	None	Maturation endoprotease for Ni-containing hydrogenase 2	maturation protease for hydrogenase 2	"Putative enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
hybE	None	Hydrogenase 2-specific chaperone	hydrogenase 2-specific chaperone	"Phenotype; Energy metabolism, carbon: Anaerobic respiration"	N
hybF	None	Accessory protein required for the maturation of hydrogenases 1 and 2; may be involved in nickel incorporation	protein involved with the maturation of hydrogenases 1 and 2	"Regulator; Energy metabolism, carbon: Anaerobic respiration"	N
hybG	None	Hydrogenase 2 accessory protein; chaperone-like function	hydrogenase 2 accessory protein	"Phenotype; Energy metabolism, carbon: Anaerobic respiration"	N
hybO	yghV	"Hydrogenase 2 [Ni, Fe], small subunit, periplasmic"	"hydrogenase 2, small subunit"	Putative enzyme; Not classified	N
hycA	hevA	Regulatory gene for hyc and hyp operons; counteracts activation by FhlA	regulator of the transcriptional regulator FhlA	"Regulator; Energy metabolism, carbon: Fermentation"	N
hycB	hevB	Formate hydrogenlyase complex iron-sulfur protein	"hydrogenase 3, Fe-S subunit"	"Putative enzyme; Energy metabolism, carbon: Fermentation"	N
hycC	hevC	Formate hydrogenlyase complex inner membrane protein	"hydrogenase 3, membrane subunit"	"Enzyme; Energy metabolism, carbon: Fermentation"	N
hycD	hevD	Formate hydrogenlyase complex inner membrane protein	"hydrogenase 3, membrane subunit"	"Enzyme; Energy metabolism, carbon: Fermentation"	N
